player,team,position,height,weight,age,experience,college,salary,games,minutes,points3,points2,points1,points,rebounds,assists,steals,blocks,turnovers,fouls
Michael Carter-Williams,CHO,PG,78,190,26,4,Syracuse University,2700000,52,835,14,62,73,239,138,116,44,23,52,99
Michael Kidd-Gilchrist,CHO,SF,79,232,24,5,University of Kentucky,1.30E+07,74,1850,0,282,117,681,302,71,51,32,53,143
Nicolas Batum,CHO,SG,80,200,29,9,,22434783,64,1981,92,178,108,740,306,349,65,23,131,72
Treveon Graham,CHO,SG,78,220,24,1,Virginia Commonwealth University,1312611,63,1050,40,56,41,273,121,59,33,2,27,109
Willy Hernangomez,CHO,C,83,240,23,1,,1435750,22,262,4,38,47,135,116,12,10,9,9,32
Courtney Lee,NYK,SG,77,200,32,9,Western Kentucky University,11747890,76,2310,113,230,114,913,224,180,80,17,84,109
Damyean Dotson,NYK,SG,78,205,23,0,"University of Oregon, University of Houston",1100000,44,474,22,50,16,182,84,31,12,2,17,34
Emmanuel Mudiay,NYK,PG,77,200,21,2,,3381480,22,493,9,66,35,194,58,85,20,7,41,33
Enes Kanter,NYK,C,83,245,25,6,,20566802,71,1830,0,422,156,1000,780,105,36,37,122,187
Frank Ntilikina,NYK,PG,77,190,19,0,,3501120,78,1706,50,132,49,463,177,250,65,18,131,181
Isaiah Hicks,NYK,PF,81,233,23,0,University of North Carolina,0,18,240,2,31,12,80,41,16,2,4,16,45
Jarrett Jack,NYK,PG,75,200,34,12,Georgia Institute of Technology,1471382,62,1548,25,164,63,466,191,348,35,4,115,98
Joakim Noah,NYK,C,83,230,32,10,University of Florida,17765000,7,40,0,5,2,12,14,4,2,2,4,5
Kristaps Porzingis,NYK,PF,87,240,22,2,,4503600,48,1553,90,300,218,1088,316,57,36,115,93,141
Kyle O'Quinn,NYK,C,82,250,27,5,Norfolk State University,4087500,77,1387,4,220,98,550,470,158,36,98,100,192
Lance Thomas,NYK,PF,80,235,29,6,Duke University,6655325,73,1353,50,52,44,298,175,44,30,14,40,134
Luke Kornet,NYK,PF,85,250,22,0,Vanderbilt University,0,20,326,28,21,8,134,64,26,6,16,12,28
Michael Beasley,NYK,PF,81,235,29,9,Kansas State University,1471382,74,1653,34,375,124,976,414,123,36,43,143,145
Mindaugas Kuzminskas,NYK,SF,81,215,28,1,,3025035,1,2,0,0,0,0,0,0,0,0,0,0
Ron Baker,NYK,SG,76,220,24,1,Wichita State University,4328000,29,385,11,9,20,71,30,47,26,6,18,33
Tim Hardaway,NYK,SG,78,205,25,4,University of Michigan,16500000,57,1885,130,230,146,996,224,155,62,10,92,123
Trey Burke,NYK,PG,73,191,25,4,University of Michigan,784160,36,785,38,155,37,461,71,170,24,4,43,43
Troy Williams,NYK,SF,79,218,23,1,Indiana University,370794,17,290,11,38,19,128,59,15,19,4,18,32
Allen Crabbe,BRK,SG,78,210,25,4,University of California,19332500,75,2197,201,136,115,990,324,117,47,35,78,168
Caris LeVert,BRK,SF,79,203,23,1,University of Michigan,1632480,71,1864,85,235,133,858,260,299,82,22,153,159
D'Angelo Russell,BRK,PG,77,195,21,2,Ohio State University,5562360,48,1234,90,188,97,743,189,249,36,17,147,93
Dante Cunningham,BRK,SF,80,230,30,8,Villanova University,2300000,22,447,23,42,11,164,105,22,12,14,17,36
DeMarre Carroll,BRK,SF,80,215,31,8,"Vanderbilt University, University of Missouri",14800000,73,2180,145,180,188,983,479,147,59,30,103,165
Isaiah Whitehead,BRK,PG,76,213,22,1,Seton Hall University,1312611,16,180,7,33,13,100,26,20,8,2,24,23
Jacob Wiley,BRK,PF,79,215,23,0,Eastern Washington University,0,5,33,1,0,1,4,11,2,1,0,0,4
Jahlil Okafor,BRK,C,83,275,22,2,Duke University,4995120,26,328,1,72,19,166,76,11,3,16,18,44
James Webb,BRK,SF,81,202,24,0,Boise State University,0,10,120,4,2,0,16,24,4,1,0,4,10
Jarrett Allen,BRK,C,82,234,19,0,University of Texas at Austin,1713720,72,1441,5,229,114,587,388,49,28,88,82,147
Jeremy Lin,BRK,PG,75,200,29,7,Harvard University,1.20E+07,1,25,1,4,7,18,0,4,0,0,3,3
Joe Harris,BRK,SG,78,219,26,3,University of Virginia,1524305,78,1975,150,155,86,846,260,128,35,20,91,153
Milton Doyle,BRK,SG,76,185,24,0,Loyola University of Chicago,0,10,125,4,9,4,34,18,10,6,2,2,13
Nik Stauskas,BRK,SG,78,205,24,3,University of Michigan,3807147,35,478,40,19,19,177,63,38,5,4,22,21
Quincy Acy,BRK,PF,79,240,27,5,Baylor University,1709538,70,1359,102,28,49,411,257,57,33,29,60,149
Rondae Hollis-Jefferson,BRK,SF,79,220,23,2,University of Arizona,1471382,68,1920,13,329,249,946,459,167,65,48,121,145
Spencer Dinwiddie,BRK,PG,78,200,24,3,University of Colorado,1524305,80,2306,141,183,218,1007,259,524,68,23,128,186
Timofey Mozgov,BRK,C,85,275,31,7,,15280000,31,359,4,48,23,131,98,11,5,13,33,39
Antonio Blakeney,CHI,SG,76,197,21,0,Louisiana State University,0,19,314,15,38,30,151,33,20,7,1,11,19
Bobby Portis,CHI,PF,83,250,22,2,University of Arkansas,1516320,73,1643,80,302,120,964,498,123,50,23,103,130
Cameron Payne,CHI,PG,75,185,23,2,Murray State University,2203440,25,582,35,52,12,221,69,113,26,9,36,44
Cristiano Felicio,CHI,C,82,275,25,2,,7843500,55,977,0,127,54,308,233,55,16,11,54,104
David Nwaba,CHI,SG,76,209,25,1,"California Polytechnic State University, San Luis Obispo",1312611,70,1646,18,184,133,555,326,104,59,29,77,158
Denzel Valentine,CHI,SG,78,212,24,1,Michigan State University,2186400,77,2095,143,158,38,783,393,244,65,11,99,185
Jerian Grant,CHI,PG,76,195,25,2,University of Notre Dame,1713840,74,1686,61,148,140,619,172,342,63,8,89,132
Justin Holiday,CHI,SG,78,181,28,4,University of Washington,4615385,72,2265,161,129,135,876,291,153,80,31,93,134
Kris Dunn,CHI,PG,76,205,23,1,Providence College,4046760,52,1525,43,243,84,699,221,310,104,27,150,174
Lauri Markkanen,CHI,PF,84,230,20,0,University of Arizona,3821640,68,2020,145,229,140,1033,508,79,39,40,83,103
Noah Vonleh,CHI,PF,82,240,22,3,Indiana University,3505233,21,399,18,39,13,145,144,21,13,6,16,26
Omer Asik,CHI,C,84,255,31,7,,10595505,4,61,0,2,0,4,10,1,1,2,4,6
Paul Zipser,CHI,SF,80,215,23,1,,1312611,54,824,37,44,19,218,131,46,20,15,43,86
Quincy Pondexter,CHI,SF,79,220,29,5,University of Washington,3853931,23,196,3,11,14,45,27,9,8,2,11,24
Robin Lopez,CHI,C,84,255,29,9,Stanford University,13788500,64,1690,4,338,68,756,290,124,14,53,107,109
Ryan Arcidiacono,CHI,PG,75,188,23,0,Villanova University,0,24,304,9,8,5,48,25,35,13,0,13,18
Zach LaVine,CHI,SG,77,200,22,3,"University of California, Los Angeles",3202217,24,656,42,94,87,401,94,72,24,4,43,55
Aaron Gordon,ORL,PF,81,220,22,3,University of Arizona,5504420,58,1909,115,260,157,1022,457,136,59,45,107,111
Adreian Payne,ORL,PF,82,237,26,3,Michigan State University,0,5,43,2,5,5,21,9,0,2,0,2,6
Arron Afflalo,ORL,SG,77,210,32,10,"University of California, Los Angeles",1471382,53,682,27,38,22,179,66,30,4,9,21,56
Bismack Biyombo,ORL,C,81,255,25,6,,1.70E+07,82,1495,0,183,102,468,468,66,21,95,84,158
D.J. Augustin,ORL,PG,72,183,30,9,University of Texas at Austin,7250000,75,1760,114,130,164,766,160,287,54,0,123,94
Evan Fournier,ORL,SF,79,205,25,5,,1.70E+07,57,1837,127,241,150,1013,180,165,47,16,95,138
Jamel Artis,ORL,SG,79,213,25,0,University of Pittsburgh,0,15,279,8,23,7,77,38,18,2,3,8,11
Jonathan Isaac,ORL,PF,82,210,20,0,Florida State University,4186320,27,536,16,39,19,145,99,18,33,30,27,48
Jonathon Simmons,ORL,SG,78,195,28,2,University of Houston,6300000,69,2029,69,285,185,962,239,171,58,16,146,175
Khem Birch,ORL,C,81,220,25,0,"University of Pittsburgh, University of Nevada, Las Vegas",815615,42,578,0,68,42,178,180,34,15,21,21,56
Mario Hezonja,ORL,SF,80,215,22,2,,4078320,75,1657,90,183,86,722,281,106,81,31,86,134
Marreese Speights,ORL,C,82,255,30,9,University of Florida,1471382,52,675,86,52,40,402,133,40,8,22,40,106
Nikola Vucevic,ORL,C,84,260,27,6,University of Southern California,12250000,57,1683,64,335,77,939,523,191,56,62,109,144
Rashad Vaughn,ORL,SG,78,202,21,2,"University of Nevada, Las Vegas",166258,5,35,1,1,0,5,4,0,1,0,2,2
Rodney Purvis,ORL,SG,76,205,23,0,University of Connecticut,161280,16,290,13,22,13,96,27,17,3,3,10,26
Shelvin Mack,ORL,PG,75,203,27,6,Butler University,6.00E+06,69,1365,48,130,69,473,166,272,54,8,89,91
Terrence Ross,ORL,SG,79,206,26,5,University of Washington,10500000,24,600,30,46,27,209,73,38,27,11,29,45
Wesley Iwundu,ORL,SF,79,193,23,0,Kansas State University,1050000,62,1020,9,84,34,229,137,57,33,12,30,81
Andrew White,ATL,SF,79,210,24,0,"University of Nebraska, Syracuse University",0,15,209,18,7,1,69,34,6,3,1,8,12
Antonius Cleveland,ATL,SG,78,195,23,0,Southeast Missouri State University,225792,4,42,3,1,2,13,4,0,1,1,5,12
Damion Lee,ATL,SG,78,210,25,0,"Drexel University, University of Louisville",138240,15,404,15,47,22,161,71,29,19,1,14,25
DeAndre' Bembry,ATL,SF,78,210,23,1,Saint Joseph's University,1567200,26,455,11,42,19,136,72,49,21,12,47,38
Dennis Schroder,ATL,PG,73,172,24,4,,15500000,67,2078,76,424,225,1301,208,417,72,6,183,147
Dewayne Dedmon,ATL,C,84,245,28,4,University of Southern California,6.00E+06,62,1542,50,200,67,617,489,90,40,51,86,162
Isaiah Taylor,ATL,PG,75,170,23,1,University of Texas at Austin,1312611,67,1167,20,143,99,445,94,206,34,10,84,116
Jaylen Morris,ATL,SG,77,185,22,0,Molloy,193536,6,98,2,11,0,28,16,7,2,1,6,2
Jeremy Evans,ATL,SF,81,200,30,6,Western Kentucky University,133129,1,5,0,1,0,2,1,0,0,0,1,1
John Collins,ATL,PF,82,235,20,0,Wake Forest University,1936920,74,1785,16,298,133,777,541,98,47,80,105,215
Josh Magette,ATL,PG,73,160,28,0,Alabama - Huntsville,0,18,216,8,7,8,46,19,57,8,1,9,16
Kent Bazemore,ATL,SG,77,201,28,5,Old Dominion University,16910113,65,1789,108,176,160,836,248,228,100,45,157,147
Malcolm Delaney,ATL,PG,75,190,28,1,Virginia Polytechnic Institute and State University,2500000,54,1014,46,63,74,338,100,163,35,6,66,82
Mike Muscala,ATL,C,83,240,26,4,Bucknell University,5.00E+06,53,1060,62,81,57,405,230,51,31,27,42,80
Miles Plumlee,ATL,C,83,249,29,5,Duke University,12500000,55,918,0,105,27,237,228,45,17,30,63,79
Nicolas Brussino,ATL,SF,79,195,24,1,,905249,4,10,0,0,0,0,3,0,0,0,0,0
Taurean Waller-Prince,ATL,SF,80,220,23,1,Baylor University,2422560,82,2464,176,239,152,1158,389,214,85,42,191,168
Tyler Cavanaugh,ATL,PF,81,239,23,0,George Washington University,729919,39,518,32,35,17,183,127,27,9,4,14,61
Tyler Dorsey,ATL,SG,77,183,21,0,University of Oregon,815615,56,974,72,72,45,405,130,79,17,5,37,63
Aaron Jackson,HOU,PG,76,185,31,0,Duquesne University,4608,1,35,1,2,1,8,3,1,0,0,1,4
Bobby Brown,HOU,PG,74,175,33,3,"California State University, Fullerton",1230186,20,115,11,8,1,50,7,11,4,0,9,6
Brandan Wright,HOU,PF,82,210,30,9,University of North Carolina,490461,1,15,0,2,0,4,2,0,0,1,0,3
Briante Weber,HOU,PG,74,165,25,2,Virginia Commonwealth University,0,13,118,4,5,4,26,18,13,10,3,7,18
Chinanu Onuaku,HOU,C,82,245,21,1,University of Louisville,1312611,1,22,0,2,0,4,4,1,0,0,3,4
Chris Paul,HOU,PG,72,175,32,12,Wake Forest University,24599495,58,1847,144,223,203,1081,313,457,96,14,128,141
Clint Capela,HOU,C,82,240,23,3,,2334520,74,2034,0,441,144,1026,802,68,58,137,103,185
Eric Gordon,HOU,SG,76,215,29,9,Indiana University,12943020,69,2154,218,197,195,1243,170,154,44,27,130,116
Gerald Green,HOU,SG,79,205,32,10,,872854,41,929,110,58,51,497,133,25,24,15,31,87
Isaiah Canaan,HOU,SG,72,201,26,4,Murray State University,53465,1,4,0,0,0,0,1,0,0,0,0,0
James Harden,HOU,SG,77,220,28,8,Arizona State University,28299399,72,2551,265,386,624,2191,389,630,126,50,315,169
Joe Johnson,HOU,SF,79,240,36,16,University of Arkansas,473835,23,505,17,34,20,139,65,38,6,1,18,35
Luc Mbah a Moute,HOU,PF,80,230,31,9,"University of California, Los Angeles",1471382,61,1564,63,103,65,460,186,55,72,25,68,100
Markel Brown,HOU,SG,75,190,26,2,Oklahoma State University,0,4,31,1,1,0,5,5,2,0,0,2,6
Nene Hilario,HOU,C,83,250,35,15,,3477600,52,758,0,136,68,340,176,45,28,14,38,123
P.J. Tucker,HOU,PF,78,245,32,6,University of Texas at Austin,7590035,82,2281,115,57,43,502,457,77,78,26,74,205
R.J. Hunter,HOU,SG,77,185,24,2,Georgia State University,0,5,45,3,4,2,19,5,3,3,0,2,7
Ryan Anderson,HOU,PF,82,240,29,9,University of California,19578455,66,1725,131,76,72,617,331,60,24,21,42,126
Tarik Black,HOU,C,81,250,26,3,"University of Memphis, University of Kansas",3290000,51,536,1,74,29,180,163,13,21,30,35,107
Tim Quarterman,HOU,SG,78,195,23,1,Louisiana State University,96406,3,13,0,1,2,4,3,1,0,0,2,1
Trevor Ariza,HOU,SF,80,215,32,13,"University of California, Los Angeles",7420912,67,2269,170,98,76,782,294,105,98,13,52,132
Zhou Qi,HOU,C,85,210,22,0,,815615,18,124,2,4,8,22,22,2,2,14,10,14
Andre Iguodala,GSW,SF,78,215,34,13,University of Arizona,14814815,64,1622,33,115,55,384,246,210,54,38,67,99
Chris Boucher,GSW,PF,82,182,25,0,University of Oregon,0,1,1,0,0,0,0,1,0,0,0,0,0
Damian Jones,GSW,C,84,245,22,1,Vanderbilt University,1312611,15,89,0,11,3,25,14,2,1,3,4,14
David West,GSW,C,81,250,37,14,Xavier University,1471382,73,999,3,213,60,495,238,138,47,75,80,120
Draymond Green,GSW,PF,79,230,27,5,Michigan State University,16400000,70,2287,77,204,134,773,535,508,95,91,202,185
JaVale McGee,GSW,C,84,270,30,9,"University of Nevada, Reno",1471382,65,615,0,136,38,310,169,33,21,57,27,91
Jordan Bell,GSW,C,81,224,23,0,University of Oregon,815615,57,809,0,116,30,262,207,102,35,56,51,92
Kevin Durant,GSW,PF,81,240,29,10,University of Texas at Austin,2.50E+07,68,2325,173,457,359,1792,464,366,50,119,207,133
Kevon Looney,GSW,C,81,220,21,2,"University of California, Los Angeles",1471382,66,910,1,111,42,267,215,42,34,56,31,106
Klay Thompson,GSW,SG,79,215,27,6,Washington State University,17826150,73,2506,229,346,82,1461,277,185,55,34,128,117
Nick Young,GSW,SG,79,210,32,10,University of Southern California,5192000,80,1393,123,78,56,581,125,36,38,7,39,100
Omri Casspi,GSW,SF,81,225,29,8,,1471382,53,740,10,110,50,300,200,51,18,19,37,71
Patrick McCaw,GSW,SG,79,185,22,1,"University of Nevada, Las Vegas",1312611,57,961,19,73,26,229,82,81,43,10,41,67
Quinn Cook,GSW,PG,74,184,24,1,Duke University,14832,33,740,46,76,22,312,82,89,12,1,32,59
Shaun Livingston,GSW,PG,79,192,32,12,,7692308,71,1129,0,172,50,394,131,140,35,21,58,117
Stephen Curry,GSW,PG,75,190,29,8,Davidson College,34682550,51,1631,212,216,278,1346,261,310,80,8,153,114
Zaza Pachulia,GSW,C,83,270,33,14,,3477600,69,972,0,149,75,373,321,109,38,17,72,122
Al-Farouq Aminu,POR,PF,81,220,27,7,Wake Forest University,7319035,69,2072,125,105,59,644,525,84,79,40,79,136
Caleb Swanigan,POR,PF,80,250,20,0,Purdue University,1465920,27,189,1,23,12,61,54,14,5,3,18,37
CJ McCollum,POR,SG,75,190,26,4,Lehigh University,23962573,81,2923,189,478,209,1732,321,272,77,35,151,168
Damian Lillard,POR,PG,75,195,27,5,Weber State University,26153057,73,2670,227,394,493,1962,325,481,77,27,206,117
Ed Davis,POR,C,82,240,28,7,University of North Carolina,6352531,78,1471,0,170,74,414,575,40,32,52,66,188
Evan Turner,POR,SF,79,220,29,7,Ohio State University,17131148,79,2034,42,216,91,649,244,173,47,29,99,163
Georgios Papagiannis,POR,C,85,240,20,1,,259556,1,4,0,1,0,2,1,0,2,0,0,0
Jake Layman,POR,SF,81,210,23,1,University of Maryland,1312611,35,160,4,10,2,34,16,11,6,4,5,13
Jusuf Nurkic,POR,C,84,280,23,3,,2947305,79,2088,0,480,172,1132,708,143,64,111,183,247
Maurice Harkless,POR,SF,81,215,24,5,St. John's University,10162922,59,1264,49,98,42,385,162,53,48,43,40,103
Meyers Leonard,POR,C,85,245,25,5,University of Illinois at Urbana-Champaign,9904495,33,254,11,35,9,112,70,17,7,0,10,36
Pat Connaughton,POR,SG,77,206,25,2,University of Notre Dame,1471382,82,1488,74,91,37,441,161,91,23,22,43,120
Shabazz Napier,POR,PG,73,175,26,3,University of Connecticut,2361360,74,1535,82,141,116,644,170,150,81,14,90,84
Wade Baldwin,POR,PG,76,202,21,1,Vanderbilt University,229892,7,80,4,10,6,38,8,5,2,1,4,12
Zach Collins,POR,C,84,232,20,0,Gonzaga University,3057240,66,1045,35,80,27,292,221,52,17,31,58,133
Alex Abrines,OKC,SG,78,190,24,1,,5725000,75,1134,84,31,39,353,114,28,38,8,25,124
Andre Roberson,OKC,SG,79,210,26,4,University of Colorado,9259259,39,1037,8,79,12,194,185,46,45,35,30,89
Carmelo Anthony,OKC,PF,80,240,33,14,Syracuse University,26243760,78,2501,169,303,148,1261,453,103,47,49,99,197
Corey Brewer,OKC,SG,81,186,31,10,University of Florida,340829,18,514,23,41,31,182,61,24,38,6,11,56
Dakari Johnson,OKC,C,84,255,22,0,University of Kentucky,815615,31,161,0,22,11,55,34,8,6,8,3,27
Daniel Hamilton,OKC,SG,79,195,22,0,University of Connecticut,0,6,28,2,3,0,12,5,8,1,0,2,2
Jerami Grant,OKC,PF,80,210,23,3,Syracuse University,1524305,81,1647,32,212,162,682,319,57,31,77,54,155
Josh Huestis,OKC,PF,79,230,26,2,Stanford University,1471382,69,982,33,27,6,159,161,20,15,43,26,82
Kyle Singler,OKC,SF,80,228,29,5,Duke University,4666500,12,59,2,5,7,23,10,2,1,0,3,4
Nick Collison,OKC,PF,82,255,37,13,University of Kansas,2328652,15,75,0,13,5,31,20,4,0,0,7,7
Patrick Patterson,OKC,PF,81,230,28,7,University of Kentucky,5192000,82,1270,66,40,40,318,193,57,48,23,33,87
Paul George,OKC,SF,81,220,27,7,"California State University, Fresno",19508958,79,2891,244,332,338,1734,447,263,161,39,212,233
PJ Dozier,OKC,PG,79,201,21,0,University of South Carolina,0,2,3,0,1,0,2,1,0,0,0,1,1
Raymond Felton,OKC,PG,73,205,33,12,University of North Carolina,1471382,82,1365,81,143,36,565,156,203,49,16,76,91
Russell Westbrook,OKC,PG,75,200,29,9,"University of California, Los Angeles",28530608,80,2914,97,660,417,2028,804,820,147,20,381,200
Steven Adams,OKC,C,84,255,24,4,University of Pittsburgh,22471910,76,2487,0,448,160,1056,685,88,92,78,128,215
Terrance Ferguson,OKC,SG,79,184,19,0,,1785000,61,763,40,30,9,189,47,19,24,10,11,83
Alec Burks,UTA,SG,78,214,26,6,University of Colorado,10845506,64,1059,47,123,107,494,192,67,37,8,60,75
Dante Exum,UTA,PG,78,190,22,2,,4992385,14,235,5,37,25,114,26,43,8,3,20,20
David Stockton,UTA,PG,71,165,26,1,Gonzaga University,192813,3,9,2,0,4,10,0,0,0,0,1,3
Derrick Favors,UTA,C,82,265,26,7,Georgia Institute of Technology,1.20E+07,77,2153,14,381,140,944,552,102,54,82,88,164
Donovan Mitchell,UTA,SG,75,211,21,0,University of Louisville,2621280,79,2638,187,408,239,1616,296,291,118,27,215,213
Ekpe Udoh,UTA,C,82,240,30,5,"University of Michigan, Baylor University",3200000,63,810,0,60,42,162,150,53,43,74,20,105
Erik McCree,UTA,SF,80,225,24,0,Louisiana Tech University,0,4,8,0,0,0,0,1,0,1,0,1,0
Georges Niang,UTA,PF,80,230,24,1,Iowa State University,0,9,32,0,4,1,9,9,3,2,0,3,1
Jae Crowder,UTA,SF,78,235,27,5,Marquette University,6796117,27,744,48,66,43,319,102,41,23,9,32,63
Joe Ingles,UTA,SF,80,226,30,3,,14136364,82,2578,204,131,66,940,344,392,90,20,159,178
Jonas Jerebko,UTA,PF,82,231,30,7,,4.00E+06,74,1134,65,94,46,429,246,42,24,12,27,127
